panel_id,is_id,project_id,drawing_revision,largura_painel_mm,altura_painel_mm,profundidade_painel_mm,largura_perfil_mm,espessura_perfil_mm,num_montantes,num_raias,comprimento_montante_mm,comprimento_raia_mm,num_furos_raia,num_placas_por_face,perimetro_placa_total_mm,perimetro_placa_maior_mm,espessura_placa_mm,placagem_dupla,tem_entalhes,codigo_painel,e_tecto,e_pavimento,e_porta,e_zona_humida
PCK01K,IS01A,ECOCIAF01,A,910,2173,2171,48,0.9,4,2,2171,910,2,1,6351,6351,12.5,False,False,PCK,False,False,False,True
PCL01K,IS01A,ECOCIAF01,A,1628,2173,72,70,0.9,4,2,2171,1628,0,2,12240,6896,12.5,False,True,PCL,False,False,False,True
PCT01K,IS01A,ECOCIAF01,A,910,2173,48,48,0.9,3,2,2171,910,0,1,6351,6351,12.5,False,True,PCT,False,False,False,True
PG01K,IS01A,ECOCIAF01,A,606,2173,48,48,0.9,2,2,2171,606,2,1,5739,5739,12.5,False,False,PG,False,False,False,False
PG02K,IS01A,ECOCIAF01,A,1062,2173,48,48,0.9,3,2,2171,1062,0,1,6656,6656,12.5,False,False,PG,False,False,False,False
PG03K,IS01A,ECOCIAF01,A,825,2173,48,48,0.9,3,2,2171,825,0,1,6181,6181,12.5,False,False,PG,False,False,False,False
PL01K,IS01A,ECOCIAF01,A,825,2173,2171,46,0.9,4,2,2171,825,4,1,6181,6181,12.5,False,True,PL,False,False,False,False
PP01K,IS01A,ECOCIAF01,A,913,150,148,46,0.9,3,2,148,901,0,1,2087,2087,12.5,False,False,PP,False,False,True,False
PS01K,IS01A,ECOCIAF01,A,1062,2173,48,48,0.9,4,2,2171,1062,6,1,6655,6655,12.5,False,False,PS,False,False,False,False
PT01K,IS01A,ECOCIAF01,A,2885,1628,48,46,0.9,7,2,1626,2885,0,3,15544,5648,12.5,False,False,PT,True,False,False,False
PVB01K,IS01A,ECOCIAF01,A,2728,1495,3111,48,0.9,12,4,2171,2728,0,3,17464,6326,12.5,False,False,PVB,False,True,False,False
PCK02K,IS02A,ECOCIAF01,A,1214,2224,70,70,0.9,4,2,2222,1214,3,1,6936,6936,12.5,False,True,PCK,False,False,False,True
PCL02K,IS02A,ECOCIAF01,A,849,2224,72,70,0.9,3,2,2222,849,0,1,6226,6226,12.5,True,True,PCL,False,False,False,True
PG04K,IS02A,ECOCIAF01,A,697,2224,2222,46,0.9,3,2,2222,697,0,2,10454,5336,12.5,False,True,PG,False,False,False,False
PG05K,IS02A,ECOCIAF01,A,1214,2224,2222,46,0.9,4,2,2222,1214,0,1,6936,6936,12.5,False,False,PG,False,False,False,False
PG06K,IS02A,ECOCIAF01,A,606,2224,2222,46,0.9,3,2,2222,606,0,1,5744,5744,12.5,False,False,PG,False,False,False,False
PG07K,IS02A,ECOCIAF01,A,100,2074,2070,46,0.9,2,2,2070,100,0,1,4424,4424,12.5,False,True,PG,False,False,False,False
PL02K,IS02A,ECOCIAF01,A,606,2224,2222,70,0.9,4,2,2222,606,3,1,5736,5736,12.5,True,False,PL,False,False,False,False
PP02K,IS02A,ECOCIAF01,A,960,152,150,46,0.9,3,2,150,948,0,1,2184,2184,12.5,False,False,PP,False,False,True,False
PS02K,IS02A,ECOCIAF01,A,796,2224,2222,70,0.9,4,2,2222,796,4,1,6121,6121,12.5,False,True,PS,False,False,False,False
PT02K,IS02A,ECOCIAF01,A,1647,1967,48,46,0.9,5,2,1965,1647,0,2,11138,6326,12.5,False,False,PT,True,False,False,False
